"""combined adjusted net income""","""one""","""two""","""three""","""four""","""five""","""six_plus"""
9475.0,1400.0,2099.0,2492.0,2784.0,3062.0,3329.0
9525.0,1405.0,2107.0,2502.0,2795.0,3074.0,3342.0
9575.0,1409.0,2114.0,2512.0,2806.0,3086.0,3355.0
9625.0,1414.0,2121.0,2521.0,2816.0,3098.0,3367.0
9675.0,1418.0,2129.0,2531.0,2827.0,3110.0,3380.0
9725.0,1423.0,2136.0,2540.0,2838.0,3122.0,3393.0
9775.0,1427.0,2143.0,2550.0,2848.0,3133.0,3406.0
9825.0,1431.0,2151.0,2560.0,2859.0,3145.0,3419.0
9875.0,1436.0,2158.0,2569.0,2870.0,3157.0,3432.0
9925.0,1440.0,2165.0,2579.0,2881.0,3169.0,3444.0
9975.0,1445.0,2173.0,2589.0,2891.0,3181.0,3457.0
10025.0,1449.0,2180.0,2598.0,2902.0,3192.0,3470.0
10075.0,1453.0,2187.0,2608.0,2913.0,3204.0,3483.0
10125.0,1458.0,2195.0,2617.0,2924.0,3216.0,3496.0
10175.0,1462.0,2202.0,2627.0,2934.0,3228.0,3509.0
10225.0,1467.0,2209.0,2637.0,2945.0,3240.0,3522.0
10275.0,1471.0,2217.0,2646.0,2956.0,3251.0,3534.0
10325.0,1477.0,2224.0,2654.0,2965.0,3261.0,3545.0
10375.0,1482.0,2232.0,2662.0,2973.0,3271.0,3555.0
10425.0,1488.0,2239.0,2670.0,2982.0,3280.0,3566.0
10475.0,1493.0,2246.0,2677.0,2991.0,3290.0,3576.0
10525.0,1499.0,2254.0,2685.0,2999.0,3299.0,3586.0
10575.0,1504.0,2261.0,2693.0,3008.0,3309.0,3597.0
10625.0,1510.0,2269.0,2701.0,3017.0,3319.0,3607.0
10675.0,1515.0,2276.0,2709.0,3026.0,3328.0,3618.0
10725.0,1520.0,2283.0,2716.0,3034.0,3338.0,3628.0
10775.0,1526.0,2291.0,2724.0,3043.0,3347.0,3638.0
10825.0,1531.0,2298.0,2732.0,3052.0,3357.0,3649.0
10875.0,1537.0,2306.0,2740.0,3060.0,3366.0,3659.0
10925.0,1542.0,2313.0,2748.0,3069.0,3376.0,3670.0
10975.0,1548.0,2320.0,2755.0,3078.0,3386.0,3680.0
11025.0,1553.0,2328.0,2763.0,3087.0,3395.0,3691.0
11075.0,1559.0,2335.0,2771.0,3095.0,3405.0,3701.0
11125.0,1564.0,2343.0,2779.0,3104.0,3414.0,3711.0
11175.0,1569.0,2350.0,2786.0,3112.0,3424.0,3721.0
11225.0,1572.0,2353.0,2791.0,3117.0,3429.0,3727.0
11275.0,1574.0,2357.0,2795.0,3122.0,3434.0,3733.0
11325.0,1576.0,2360.0,2799.0,3127.0,3440.0,3739.0
11375.0,1579.0,2364.0,2804.0,3132.0,3445.0,3745.0
11425.0,1581.0,2368.0,2808.0,3137.0,3450.0,3751.0
11475.0,1583.0,2371.0,2813.0,3142.0,3456.0,3756.0
11525.0,1586.0,2375.0,2817.0,3147.0,3461.0,3762.0
11575.0,1588.0,2378.0,2821.0,3151.0,3467.0,3768.0
11625.0,1590.0,2382.0,2826.0,3156.0,3472.0,3774.0
11675.0,1593.0,2386.0,2830.0,3161.0,3477.0,3780.0
11725.0,1595.0,2389.0,2834.0,3166.0,3483.0,3786.0
11775.0,1597.0,2393.0,2839.0,3171.0,3488.0,3792.0
11825.0,1600.0,2396.0,2843.0,3176.0,3493.0,3797.0
11875.0,1602.0,2400.0,2848.0,3181.0,3499.0,3803.0
11925.0,1604.0,2404.0,2852.0,3186.0,3504.0,3809.0
11975.0,1607.0,2407.0,2856.0,3191.0,3510.0,3815.0
12025.0,1609.0,2411.0,2861.0,3195.0,3515.0,3821.0
12075.0,1611.0,2414.0,2865.0,3200.0,3520.0,3827.0
12125.0,1614.0,2418.0,2870.0,3205.0,3526.0,3833.0
12175.0,1616.0,2422.0,2874.0,3210.0,3531.0,3838.0
12225.0,1618.0,2425.0,2878.0,3215.0,3537.0,3844.0
12275.0,1621.0,2429.0,2883.0,3220.0,3542.0,3850.0
12325.0,1623.0,2432.0,2887.0,3225.0,3547.0,3856.0
12375.0,1625.0,2436.0,2891.0,3230.0,3553.0,3862.0
12425.0,1628.0,2439.0,2896.0,3235.0,3558.0,3868.0
12475.0,1630.0,2443.0,2900.0,3240.0,3563.0,3874.0
12525.0,1633.0,2447.0,2905.0,3245.0,3569.0,3880.0
12575.0,1637.0,2452.0,2910.0,3251.0,3576.0,3887.0
12625.0,1640.0,2457.0,2916.0,3257.0,3583.0,3894.0
12675.0,1644.0,2462.0,2921.0,3263.0,3590.0,3902.0
12725.0,1648.0,2468.0,2927.0,3269.0,3596.0,3909.0
12775.0,1652.0,2473.0,2933.0,3276.0,3603.0,3917.0
12825.0,1655.0,2478.0,2938.0,3282.0,3610.0,3924.0
12875.0,1659.0,2483.0,2944.0,3288.0,3617.0,3931.0
12925.0,1663.0,2488.0,2949.0,3294.0,3624.0,3939.0
12975.0,1667.0,2493.0,2955.0,3300.0,3630.0,3946.0
13025.0,1670.0,2499.0,2960.0,3307.0,3637.0,3954.0
13075.0,1674.0,2504.0,2966.0,3313.0,3644.0,3961.0
13125.0,1678.0,2509.0,2971.0,3319.0,3651.0,3968.0
13175.0,1682.0,2514.0,2977.0,3325.0,3658.0,3976.0
13225.0,1685.0,2519.0,2982.0,3331.0,3664.0,3983.0
13275.0,1689.0,2524.0,2988.0,3337.0,3671.0,3991.0
13325.0,1693.0,2530.0,2993.0,3344.0,3678.0,3998.0
13375.0,1697.0,2535.0,2999.0,3350.0,3685.0,4005.0
